Percentage served,Time in ms
0,13992.583
1,17201.596
2,17590.368
3,17901.068
4,18399.875
5,18594.331
6,18698.516
7,18706.439
8,18799.258
9,18901.479
10,19195.909
11,19302.037
12,19700.632
13,19702.898
14,19703.814
15,19793.611
16,19897.148
17,19967.042
18,20109.446
19,20203.662
20,20302.941
21,20401.523
22,20411.896
23,20498.858
24,20596.837
25,20602.701
26,20606.070
27,20692.499
28,20698.362
29,20806.329
30,20886.936
31,20895.183
32,21001.830
33,21197.070
34,21199.164
35,21397.294
36,21491.958
37,21600.316
38,21696.328
39,21878.640
40,21901.484
41,21918.507
42,21994.399
43,21996.547
44,22078.296
45,22097.747
46,22303.917
47,22677.825
48,22679.293
49,22680.407
50,22699.609
51,22783.932
52,22784.552
53,22894.137
54,23116.879
55,23396.286
56,23404.151
57,23404.537
58,23408.761
59,23481.943
60,23486.445
61,23493.148
62,23518.688
63,23594.179
64,23696.704
65,23794.170
66,23897.251
67,23900.467
68,23998.480
69,24001.248
70,24008.938
71,24100.503
72,24196.230
73,24198.387
74,24205.655
75,24386.504
76,24702.093
77,24980.008
78,25003.471
79,25195.906
80,25395.801
81,25400.284
82,25494.711
83,25496.600
84,25593.264
85,25598.211
86,26003.118
87,26298.610
88,26299.023
89,26597.960
90,26801.733
91,27201.361
92,27296.721
93,27799.571
94,28102.828
95,28410.630
96,28895.553
97,29104.733
98,29501.484
99,31101.548
100,31101.548
