Percentage served,Time in ms
0,9293.784
1,9593.429
2,9805.984
3,11476.859
4,11890.826
5,12395.521
6,12490.329
7,12798.488
8,13004.464
9,13198.074
10,13310.658
11,13679.036
12,13700.988
13,13709.017
14,13795.776
15,13809.061
16,14002.378
17,14006.413
18,14096.154
19,14101.270
20,14300.060
21,14302.779
22,14389.428
23,14395.168
24,14411.156
25,14615.461
26,14695.564
27,14895.952
28,14901.901
29,14912.045
30,14990.758
31,15000.191
32,15011.193
33,15017.931
34,15106.916
35,15186.839
36,15298.555
37,15301.672
38,15498.959
39,15552.401
40,15593.261
41,15593.949
42,15602.240
43,15605.810
44,15690.923
45,15694.143
46,15697.220
47,15711.434
48,15898.418
49,15904.150
50,16001.864
51,16050.120
52,16105.315
53,16106.530
54,16195.422
55,16210.862
56,16280.887
57,16356.675
58,16388.934
59,16400.275
60,16497.870
61,16502.049
62,16504.653
63,16603.391
64,16682.045
65,16694.515
66,16698.422
67,16797.316
68,16799.540
69,16801.887
70,16899.405
71,16963.517
72,16965.157
73,17001.511
74,17055.610
75,17057.189
76,17088.858
77,17490.402
78,17589.541
79,17696.623
80,17903.392
81,17905.113
82,17906.802
83,17909.697
84,18051.735
85,18095.668
86,18104.758
87,18253.874
88,18401.022
89,18448.914
90,18595.079
91,18699.343
92,19092.663
93,19098.911
94,19191.913
95,19587.643
96,19902.288
97,20517.439
98,21004.134
99,21196.157
100,21196.157
