Percentage served,Time in ms
0,21996.839
1,22400.649
2,23799.307
3,24893.664
4,26299.549
5,28985.889
6,29594.986
7,29798.731
8,30505.923
9,31498.504
10,31900.549
11,32098.923
12,32295.794
13,32602.339
14,32694.170
15,32801.963
16,32999.814
17,33000.894
18,33006.688
19,33199.640
20,33603.637
21,33613.902
22,33900.035
23,33999.752
24,34005.099
25,34291.755
26,34302.198
27,34496.915
28,34698.128
29,34797.329
30,35001.468
31,35204.047
32,35406.502
33,35594.145
34,35602.262
35,35995.625
36,36004.965
37,36098.465
38,36496.907
39,36498.551
40,36694.761
41,36697.906
42,36799.096
43,36801.198
44,36801.877
45,36898.171
46,36904.667
47,36997.299
48,37194.567
49,37296.171
50,37297.859
51,37399.143
52,37493.301
53,37698.186
54,37802.333
55,37894.934
56,38200.350
57,38401.371
58,38498.499
59,38698.851
60,38899.652
61,39101.834
62,39499.910
63,39599.498
64,39899.128
65,40103.092
66,40202.504
67,40203.396
68,40235.651
69,40300.943
70,40799.391
71,40834.992
72,40936.042
73,41000.029
74,41096.765
75,41233.662
76,41298.757
77,41397.051
78,41403.822
79,41595.596
80,41600.446
81,41837.786
82,42004.509
83,42230.390
84,42398.844
85,42733.963
86,42798.295
87,43197.946
88,43501.455
89,43700.140
90,43700.823
91,43999.590
92,44900.921
93,45305.680
94,48106.632
95,48205.494
96,48538.245
97,49799.512
98,51733.601
99,55235.497
100,55235.497
