Percentage served,Time in ms
0,28485.745
1,116110.268
2,117919.284
3,118812.056
4,118929.409
5,119609.565
6,119709.547
7,125098.095
8,127136.478
9,127217.727
10,129211.875
11,134511.130
12,134912.522
13,135833.693
14,137015.151
15,138395.955
16,138665.345
17,139180.305
18,139277.219
19,141099.689
20,141284.865
21,141303.578
22,143488.667
23,143928.845
24,144105.547
25,144688.378
26,145725.350
27,146019.224
28,146514.229
29,147978.092
30,148784.246
31,149287.173
32,149325.690
33,149699.186
34,150697.878
35,151112.290
36,151611.048
37,151813.619
38,152096.094
39,152489.553
40,153017.246
41,153504.494
42,153900.870
43,154703.425
44,155965.230
45,156199.647
46,156508.274
47,156799.300
48,157426.119
49,157576.142
50,157802.069
51,158406.058
52,158406.556
53,160310.908
54,160907.246
55,161673.514
56,161810.653
57,162064.173
58,162413.230
59,162504.956
60,162705.913
61,163012.559
62,164004.227
63,164372.868
64,164516.376
65,164614.327
66,165719.910
67,166090.731
68,166219.393
69,166491.634
70,166765.553
71,166994.954
72,167092.604
73,167626.352
74,167683.124
75,168179.258
76,169608.739
77,170302.973
78,171612.377
79,172202.259
80,172232.319
81,172262.401
82,172294.009
83,172830.262
84,172912.300
85,172924.554
86,174100.279
87,175193.748
88,175395.834
89,175512.955
90,175584.059
91,177014.963
92,177278.341
93,177485.904
94,181513.536
95,185979.276
96,187066.079
97,189301.280
98,192485.602
99,203505.774
100,203505.774
