Percentage served,Time in ms
0,48767.785
1,112787.218
2,127615.092
3,133420.784
4,146234.942
5,148188.330
6,155612.609
7,162011.821
8,165698.316
9,166622.510
10,166894.338
11,167006.416
12,169203.288
13,170198.855
14,172473.450
15,172816.481
16,175199.299
17,175797.067
18,178586.451
19,178587.724
20,181194.464
21,186192.951
22,187212.698
23,188615.088
24,192403.303
25,192785.470
26,192895.332
27,193769.927
28,194494.021
29,197197.419
30,197314.050
31,201609.978
32,201819.904
33,202047.456
34,203216.251
35,204291.108
36,204997.947
37,207393.529
38,211490.328
39,212340.429
40,212919.247
41,214902.780
42,216612.737
43,220608.887
44,222824.871
45,223110.549
46,224340.246
47,224410.612
48,229099.242
49,230585.456
50,230768.127
51,230936.339
52,231620.245
53,235305.470
54,237075.635
55,237587.056
56,244577.962
57,247202.672
58,248008.049
59,254797.455
60,255783.559
61,256710.713
62,258177.032
63,262304.176
64,266308.160
65,267220.531
66,267706.560
67,272014.481
68,272201.929
69,273003.104
70,277361.134
71,277786.607
72,279387.159
73,280307.132
74,284601.883
75,284691.791
76,285375.769
77,285892.903
78,286799.232
79,287204.520
80,290116.632
81,290897.099
82,294078.725
83,298887.829
84,299925.458
85,301199.831
86,301217.586
87,302116.315
88,308896.266
89,309912.195
90,317511.798
91,320007.131
92,320867.817
93,323408.363
94,327009.960
95,328077.531
96,376309.170
97,385824.343
98,388911.222
99,396914.791
100,396914.791
