Percentage served,Time in ms
0,42009.444
1,43704.175
2,45300.329
3,46403.642
4,53580.166
5,54866.490
6,55895.098
7,55901.960
8,56876.461
9,58798.342
10,61182.726
11,61904.166
12,62486.399
13,63900.805
14,64198.076
15,64206.473
16,64478.273
17,64775.771
18,65006.372
19,65012.072
20,65374.862
21,65873.293
22,65906.914
23,66401.738
24,66604.176
25,66684.729
26,66704.225
27,66768.258
28,66903.599
29,67205.535
30,67495.635
31,67679.562
32,67795.133
33,68295.655
34,68498.281
35,68798.719
36,69106.123
37,69295.973
38,69370.154
39,69409.721
40,69507.720
41,69571.623
42,69712.275
43,69802.242
44,70293.777
45,70508.515
46,70616.859
47,70692.930
48,71104.983
49,71115.249
50,71188.975
51,71363.911
52,71406.463
53,71495.103
54,71498.377
55,71515.655
56,71591.127
57,71701.635
58,71802.077
59,71985.588
60,71995.696
61,72109.049
62,72410.019
63,72615.104
64,73194.172
65,73195.424
66,73321.993
67,73404.858
68,73509.705
69,73602.269
70,74201.187
71,74293.476
72,74393.299
73,74594.170
74,74598.798
75,74684.444
76,74690.195
77,75105.503
78,75192.432
79,75384.036
80,75903.400
81,76195.490
82,76387.974
83,76396.552
84,76504.032
85,76598.800
86,76605.064
87,76789.390
88,77297.967
89,78297.019
90,78606.375
91,79200.834
92,80000.926
93,80315.725
94,80492.732
95,81393.600
96,81983.587
97,82206.412
98,84299.629
99,86909.740
100,86909.740
