Percentage served,Time in ms
0,31810.491
1,31906.565
2,32401.192
3,32595.247
4,33196.172
5,35097.229
6,35195.478
7,35704.248
8,39893.987
9,41808.037
10,43500.650
11,43504.939
12,43592.776
13,45096.464
14,49695.260
15,57797.451
16,60296.193
17,65205.326
18,65996.437
19,66199.173
20,66900.770
21,67400.577
22,69619.457
23,69620.833
24,70391.624
25,70404.036
26,70406.218
27,70529.718
28,70690.232
29,70735.304
30,71094.758
31,71405.372
32,71722.784
33,72911.611
34,74492.448
35,74600.812
36,75501.710
37,75807.417
38,76104.949
39,76201.316
40,76393.327
41,77096.360
42,77100.615
43,77709.010
44,78606.394
45,79208.525
46,79704.356
47,80397.765
48,80400.258
49,80413.518
50,80808.405
51,81210.366
52,81289.686
53,81397.317
54,81586.880
55,81594.112
56,82195.074
57,82489.272
58,82702.965
59,82900.179
60,83293.631
61,83393.413
62,83394.517
63,83400.918
64,84093.949
65,84390.657
66,84593.353
67,84697.901
68,85195.424
69,85295.363
70,86303.518
71,86399.844
72,86400.232
73,86506.988
74,87203.736
75,87504.796
76,87803.274
77,87992.883
78,88100.725
79,88377.836
80,88397.845
81,88406.858
82,88495.345
83,88911.252
84,89199.838
85,89404.511
86,89606.896
87,89697.489
88,90496.934
89,90512.046
90,91100.803
91,91605.576
92,92200.773
93,94286.278
94,94797.316
95,95407.768
96,96000.408
97,97898.243
98,98295.969
99,102496.014
100,102496.014
