Percentage served,Time in ms
0,225289.751
1,462209.216
2,462506.031
3,463308.723
4,470202.189
5,472805.511
6,476198.704
7,477799.829
8,477997.248
9,480397.123
10,481705.916
11,482193.385
12,485800.398
13,488906.722
14,491503.942
15,492505.461
16,495088.354
17,495217.388
18,495598.743
19,497900.528
20,498198.773
21,498485.544
22,501093.560
23,501191.367
24,501995.424
25,502494.426
26,502498.206
27,502507.796
28,502705.771
29,503594.057
30,505396.048
31,506195.356
32,507487.871
33,507600.414
34,507605.095
35,507886.672
36,507914.587
37,508709.062
38,509507.714
39,510299.003
40,511204.026
41,512001.944
42,513392.798
43,514496.680
44,514507.603
45,515906.552
46,516202.465
47,518001.620
48,518198.358
49,518296.593
50,519319.452
51,520316.308
52,521107.840
53,521240.993
54,521698.899
55,522608.951
56,523987.058
57,525014.146
58,526009.449
59,526494.620
60,526811.546
61,527795.120
62,528491.128
63,528962.973
64,529008.062
65,529902.192
66,530019.459
67,530639.807
68,531103.604
69,532093.879
70,533002.072
71,533196.737
72,533490.451
73,534001.569
74,534288.364
75,534305.384
76,534799.523
77,535202.825
78,535704.254
79,535992.845
80,536093.391
81,536692.829
82,540403.119
83,541597.493
84,541994.291
85,544294.259
86,547301.431
87,550405.350
88,550407.361
89,552296.983
90,553506.895
91,556904.049
92,560797.745
93,561006.412
94,564104.324
95,565401.538
96,568996.110
97,573604.796
98,585691.734
99,594496.073
100,594496.073
