Percentage served,Time in ms
0,91303.812
1,91630.326
2,91709.002
3,91788.766
4,91807.749
5,92057.386
6,92195.480
7,92214.393
8,92252.090
9,92381.181
10,92487.518
11,92494.208
12,92538.638
13,92646.146
14,92663.240
15,92716.488
16,92721.094
17,92804.356
18,92831.434
19,92950.468
20,92957.818
21,92958.711
22,93005.260
23,93006.703
24,93037.152
25,93046.204
26,93076.584
27,93076.975
28,93114.322
29,93166.829
30,93234.097
31,93288.856
32,93291.267
33,93322.169
34,93374.361
35,93561.421
36,93646.461
37,93651.428
38,93694.054
39,93765.315
40,93850.366
41,93922.559
42,93933.858
43,93991.957
44,93996.118
45,94022.477
46,94035.545
47,94046.155
48,94079.662
49,94149.107
50,94204.735
51,94235.990
52,94367.105
53,94370.856
54,94387.734
55,94420.037
56,94431.967
57,94451.349
58,94459.764
59,94637.931
60,94707.254
61,94736.000
62,94784.927
63,94794.356
64,94919.448
65,95265.272
66,95301.769
67,95801.746
68,95879.716
69,95904.681
70,98349.307
71,98695.773
72,98757.729
73,98805.219
74,98850.008
75,98934.851
76,99567.424
77,99595.029
78,99763.368
79,99798.776
80,99813.378
81,99860.866
82,100008.757
83,100032.276
84,100119.251
85,100180.337
86,100421.829
87,100460.725
88,100590.851
89,100627.290
90,100706.490
91,100821.056
92,100844.312
93,100998.979
94,101307.702
95,101336.116
96,101342.212
97,101414.464
98,101522.373
99,101849.018
100,101849.018
