Percentage served,Time in ms
0,686.585
1,706.717
2,738.467
3,760.673
4,891.416
5,892.935
6,900.456
7,906.154
8,938.908
9,971.375
10,971.701
11,985.516
12,989.467
13,990.540
14,995.034
15,1011.064
16,1020.346
17,1023.799
18,1027.973
19,1037.743
20,1038.951
21,1042.425
22,1054.659
23,1055.189
24,1055.411
25,1056.550
26,1056.634
27,1057.397
28,1058.403
29,1070.549
30,1070.578
31,1072.291
32,1077.229
33,1078.954
34,1079.608
35,1081.209
36,1083.376
37,1084.794
38,1085.068
39,1086.005
40,1086.290
41,1088.614
42,1089.403
43,1089.502
44,1089.822
45,1089.894
46,1090.552
47,1093.100
48,1094.007
49,1102.584
50,1103.823
51,1104.071
52,1105.076
53,1105.971
54,1109.298
55,1109.493
56,1112.755
57,1114.896
58,1114.945
59,1119.956
60,1131.844
61,1132.094
62,1132.658
63,1142.801
64,1149.776
65,1152.179
66,1154.839
67,1160.511
68,1172.400
69,1174.547
70,1175.003
71,1182.392
72,1186.610
73,1187.086
74,1198.176
75,1200.033
76,1202.238
77,1212.177
78,1214.494
79,1222.961
80,1230.239
81,1234.316
82,1234.618
83,1253.639
84,1277.081
85,1283.974
86,1295.642
87,1324.606
88,1339.985
89,1432.706
90,25645.540
91,25645.736
92,25702.668
93,25706.922
94,25707.464
95,25725.941
96,25726.778
97,25749.211
98,25860.604
99,26056.836
100,26056.836
