Percentage served,Time in ms
0,416.042
1,479.454
2,538.355
3,551.511
4,598.922
5,608.165
6,610.951
7,612.152
8,612.339
9,614.728
10,629.248
11,635.555
12,637.623
13,637.796
14,641.178
15,642.592
16,645.332
17,645.874
18,659.743
19,660.408
20,661.269
21,661.377
22,661.584
23,666.470
24,666.557
25,672.897
26,677.838
27,678.392
28,679.355
29,690.970
30,692.408
31,696.617
32,697.759
33,715.876
34,717.773
35,723.044
36,724.172
37,728.825
38,731.753
39,732.937
40,747.856
41,751.404
42,752.421
43,756.347
44,764.888
45,775.316
46,776.183
47,782.276
48,785.154
49,793.256
50,793.269
51,795.307
52,795.793
53,797.563
54,799.195
55,803.096
56,804.373
57,805.871
58,807.092
59,807.577
60,809.462
61,821.761
62,822.418
63,828.097
64,830.450
65,831.940
66,837.311
67,839.089
68,844.517
69,851.781
70,854.381
71,865.605
72,866.837
73,867.553
74,868.220
75,869.534
76,869.785
77,870.868
78,871.155
79,872.769
80,873.456
81,880.573
82,883.058
83,890.247
84,890.694
85,894.229
86,915.644
87,917.137
88,924.800
89,929.363
90,937.705
91,939.687
92,943.657
93,946.585
94,949.825
95,957.376
96,965.700
97,1015.840
98,1042.164
99,1112.353
100,1112.353
