Percentage served,Time in ms
0,0.531
1,0.696
2,0.932
3,0.951
4,1.040
5,1.127
6,1.133
7,1.181
8,1.193
9,1.242
10,1.267
11,1.269
12,1.279
13,1.295
14,1.342
15,1.541
16,1.568
17,1.615
18,1.655
19,1.878
20,2.075
21,2.287
22,2.289
23,2.350
24,3.059
25,3.575
26,3.605
27,4.390
28,4.412
29,4.592
30,4.777
31,4.812
32,4.899
33,5.100
34,5.239
35,18.030
36,34.715
37,34.989
38,36.190
39,36.487
40,36.595
41,36.617
42,36.979
43,37.247
44,38.102
45,38.116
46,40.187
47,40.492
48,41.358
49,41.593
50,42.674
51,43.133
52,43.407
53,46.337
54,56.367
55,56.608
56,99.918
57,101.215
58,101.246
59,3016.229
60,3082.608
61,6059.472
62,30000.930
63,30001.029
64,30011.002
65,30046.451
66,30058.952
67,30067.535
68,30071.027
69,31082.868
70,431186.602
71,433615.277
72,434705.535
73,434791.252
74,463603.877
75,482218.234
76,486891.865
77,487482.451
78,509986.932
79,513398.360
80,576064.809
81,576104.783
82,601903.903
83,606078.886
84,626498.332
85,652462.106
86,654611.887
87,654621.391
88,654621.404
89,654621.663
90,654622.007
91,654639.258
92,654639.320
93,654639.569
94,654639.669
95,654639.728
96,654665.651
97,654767.090
98,655848.414
99,658217.019
100,658217.019
