Percentage served,Time in ms
0,446195.351
1,448979.855
2,456306.069
3,458322.087
4,463119.919
5,465435.750
6,467126.080
7,473816.574
8,475812.227
9,476683.502
10,482712.253
11,493602.077
12,496006.924
13,502696.076
14,505973.150
15,508751.836
16,509383.267
17,510074.427
18,511805.662
19,512890.307
20,513613.661
21,514790.958
22,519704.561
23,525184.462
24,525338.163
25,527490.028
26,535585.795
27,535723.015
28,540214.180
29,540476.308
30,541367.100
31,543787.725
32,545081.126
33,549477.496
34,550479.660
35,551873.524
36,552718.168
37,553207.762
38,557183.248
39,558720.681
40,559318.874
41,563180.970
42,564382.712
43,564812.235
44,565192.705
45,569817.953
46,571494.420
47,572192.827
48,576713.771
49,578212.663
50,578401.351
51,578808.301
52,580229.752
53,581186.139
54,581982.394
55,582116.920
56,582503.087
57,582556.149
58,583621.806
59,586585.838
60,587705.842
61,587977.525
62,588194.502
63,589392.577
64,589470.344
65,592011.928
66,592100.851
67,592487.409
68,594067.422
69,594793.678
70,595665.642
71,599495.266
72,604608.335
73,604632.670
74,606294.887
75,607615.876
76,608072.791
77,610631.705
78,611710.971
79,611722.760
80,614120.006
81,616473.809
82,618239.337
83,621577.669
84,621901.236
85,622277.500
86,628389.054
87,629393.597
88,635015.073
89,637784.980
90,641800.679
91,644190.308
92,646197.692
93,648126.780
94,649036.326
95,649162.738
96,653621.998
97,658533.639
98,660833.081
99,663284.040
100,663284.040
