Percentage served,Time in ms
0,61435.659
1,66135.103
2,70442.886
3,173057.523
4,175741.173
5,189740.100
6,190325.404
7,191297.367
8,203057.802
9,214198.138
10,217079.919
11,217396.871
12,218811.274
13,218997.163
14,298495.791
15,313330.705
16,313642.247
17,313645.534
18,314057.888
19,314443.681
20,328792.614
21,333477.654
22,342877.009
23,343786.983
24,344071.990
25,345304.881
26,346084.979
27,348512.061
28,348670.173
29,348817.679
30,350169.013
31,350306.096
32,353607.726
33,354052.254
34,354115.852
35,354184.884
36,355393.723
37,355498.836
38,356016.478
39,356287.995
40,362637.505
41,363018.408
42,363598.207
43,363803.483
44,363901.529
45,364002.303
46,366387.529
47,367028.342
48,367676.121
49,368599.834
50,370830.509
51,376341.354
52,376669.767
53,376698.186
54,377103.629
55,377394.760
56,377670.682
57,377803.650
58,378822.406
59,378901.613
60,380015.580
61,380091.778
62,380223.228
63,380284.108
64,380409.920
65,381488.454
66,381701.374
67,381754.441
68,383131.435
69,383221.368
70,383287.996
71,383313.222
72,383498.545
73,383636.022
74,387314.068
75,388000.794
76,388374.336
77,389698.804
78,391197.764
79,392582.663
80,392803.854
81,393696.088
82,394176.058
83,398471.659
84,398505.211
85,399258.008
86,399621.299
87,400428.172
88,401894.623
89,403017.980
90,424574.837
91,424802.136
92,424881.777
93,426006.456
94,426096.530
95,426110.689
96,426521.418
97,426801.130
98,428490.097
99,428549.037
100,428549.037
