Percentage served,Time in ms
0,6895.244
1,7557.619
2,7798.546
3,7805.297
4,8197.245
5,8300.142
6,8391.157
7,8696.506
8,8800.409
9,8904.181
10,9191.256
11,9202.244
12,9207.361
13,9224.342
14,9281.604
15,9283.230
16,9390.281
17,9494.686
18,9495.478
19,9497.197
20,9499.434
21,9507.388
22,9593.361
23,9597.083
24,9598.879
25,9601.202
26,9604.490
27,9697.856
28,9894.177
29,9903.657
30,10004.951
31,10005.152
32,10006.495
33,10097.183
34,10099.354
35,10100.063
36,10108.253
37,10193.467
38,10198.131
39,10199.621
40,10200.051
41,10292.364
42,10300.091
43,10402.210
44,10406.936
45,10498.295
46,10511.439
47,10512.392
48,10518.455
49,10586.836
50,10591.310
51,10591.427
52,10594.712
53,10606.037
54,10606.613
55,10710.456
56,10794.721
57,10797.554
58,10798.638
59,10798.740
60,10809.029
61,10895.252
62,10899.131
63,10899.296
64,10899.878
65,10996.531
66,10997.613
67,11006.595
68,11100.118
69,11107.372
70,11298.800
71,11299.235
72,11306.191
73,11389.207
74,11396.097
75,11399.864
76,11402.278
77,11402.617
78,11497.916
79,11503.164
80,11505.725
81,11600.696
82,11600.890
83,11706.950
84,11710.230
85,11796.563
86,11802.245
87,11901.455
88,11996.755
89,12004.121
90,12188.978
91,12201.876
92,12294.902
93,12300.036
94,12303.785
95,12306.148
96,12386.818
97,12797.037
98,12895.114
99,13093.208
100,13093.208
