Percentage served,Time in ms
0,370595.748
1,426099.910
2,493799.122
3,546890.019
4,574501.205
5,582600.718
6,590499.192
7,598694.329
8,600899.706
9,603202.893
10,603403.025
11,604400.033
12,613100.249
13,615584.942
14,615787.133
15,616592.596
16,616799.420
17,618401.459
18,619001.156
19,619186.095
20,620094.667
21,620099.865
22,621196.411
23,621199.147
24,621494.816
25,623102.071
26,623898.719
27,624002.452
28,624400.678
29,624614.515
30,625490.496
31,629804.082
32,630003.608
33,631887.794
34,633197.307
35,634399.253
36,637300.649
37,637699.035
38,637701.759
39,638198.584
40,638900.800
41,639498.032
42,640299.975
43,642404.074
44,643903.557
45,644293.385
46,645797.267
47,646394.918
48,649495.996
49,649906.028
50,650699.449
51,651893.631
52,653403.738
53,655297.356
54,656599.914
55,657403.577
56,659000.250
57,659100.727
58,659599.331
59,660712.918
60,661496.066
61,661685.841
62,662397.698
63,663698.432
64,664787.546
65,665001.879
66,668997.562
67,669499.430
68,673001.201
69,674006.814
70,675100.657
71,675602.400
72,675996.293
73,677299.136
74,681604.886
75,685396.917
76,685485.353
77,689508.608
78,690396.730
79,690496.258
80,691001.015
81,692803.272
82,693109.884
83,693900.271
84,697699.720
85,700194.223
86,701902.832
87,703600.117
88,712597.094
89,714403.476
90,715294.878
91,716697.490
92,722098.458
93,722606.519
94,743706.327
95,744997.410
96,745815.657
97,746702.108
98,760998.580
99,762205.728
100,762205.728
