Percentage served,Time in ms
0,63716.148
1,66809.345
2,82907.683
3,82908.222
4,82908.881
5,82909.018
6,84718.704
7,89006.423
8,93504.452
9,105597.978
10,105598.128
11,105696.273
12,108804.438
13,109592.928
14,113696.540
15,117109.460
16,118099.218
17,118493.444
18,122908.048
19,123099.456
20,124100.832
21,125143.343
22,126105.837
23,126902.632
24,129199.554
25,131999.182
26,133601.920
27,137702.433
28,140591.175
29,142593.431
30,143494.825
31,143895.962
32,144498.461
33,144798.083
34,145098.155
35,146302.405
36,149199.973
37,149400.336
38,149599.483
39,155563.265
40,156196.219
41,156908.512
42,157998.109
43,159585.303
44,161507.492
45,170512.395
46,170804.043
47,171997.395
48,173107.390
49,174033.619
50,174303.295
51,174700.063
52,175992.527
53,177703.361
54,177802.962
55,177898.164
56,178892.248
57,180614.196
58,181191.681
59,182300.652
60,182503.454
61,183357.817
62,183399.041
63,186103.867
64,187597.979
65,187694.770
66,189312.995
67,190591.146
68,191094.236
69,191482.069
70,192506.793
71,194397.252
72,194492.411
73,196694.556
74,200131.605
75,200395.254
76,201694.051
77,201700.482
78,202992.564
79,204599.846
80,204902.001
81,209293.369
82,210497.817
83,210897.605
84,211901.289
85,214308.630
86,216698.727
87,217402.058
88,217698.792
89,219506.861
90,224592.164
91,224899.990
92,229205.453
93,237302.724
94,237699.805
95,240809.564
96,244596.263
97,248600.607
98,250395.036
99,254802.431
100,254802.431
