Percentage served,Time in ms
0,1902.335
1,2086.214
2,2797.199
3,3784.579
4,3788.144
5,4039.191
6,4489.591
7,4539.014
8,4699.106
9,4701.434
10,4917.575
11,5003.767
12,5095.068
13,5125.990
14,5172.249
15,5199.690
16,5600.498
17,5811.403
18,6213.447
19,6215.530
20,6403.760
21,6606.182
22,6615.422
23,6835.123
24,6999.846
25,7315.295
26,7403.811
27,7507.799
28,7807.372
29,8006.229
30,8267.372
31,8303.756
32,8306.663
33,8364.615
34,8401.349
35,8600.081
36,8601.977
37,8684.364
38,8692.327
39,8878.825
40,8905.639
41,9104.960
42,9118.073
43,9224.755
44,9288.439
45,9306.328
46,9331.674
47,9393.047
48,9394.741
49,9500.990
50,9516.969
51,9521.736
52,9554.804
53,9692.629
54,9788.027
55,9801.317
56,9805.350
57,9807.908
58,9897.703
59,10201.321
60,10497.698
61,10858.138
62,11137.403
63,11901.732
64,11912.771
65,11996.783
66,12031.462
67,12073.915
68,12395.493
69,12447.649
70,12512.574
71,12703.533
72,12705.141
73,13095.827
74,13517.856
75,13680.897
76,14072.209
77,14089.324
78,14598.097
79,14798.751
80,14890.695
81,15010.313
82,15073.937
83,15099.360
84,15320.186
85,15395.549
86,15611.528
87,15626.252
88,15688.662
89,15987.552
90,16168.551
91,16682.803
92,17332.242
93,17390.034
94,18509.042
95,19473.173
96,19783.093
97,20289.655
98,20793.311
99,23289.610
100,23289.610
