Percentage served,Time in ms
0,59593.403
1,68940.861
2,68941.782
3,69040.183
4,69443.498
5,69740.695
6,82201.576
7,82301.131
8,85402.075
9,86406.433
10,87396.828
11,88399.808
12,88406.302
13,89896.533
14,98203.155
15,105402.674
16,106297.793
17,107698.677
18,108690.712
19,109508.388
20,109602.348
21,110698.801
22,112205.472
23,114001.307
24,114594.394
25,114699.512
26,116197.464
27,116488.392
28,116994.649
29,117990.700
30,121093.771
31,122400.818
32,122997.811
33,124011.473
34,124901.268
35,125198.699
36,129103.140
37,129891.067
38,130289.771
39,130299.524
40,131004.887
41,131300.570
42,132403.460
43,133100.526
44,133102.845
45,134012.275
46,134194.304
47,137297.328
48,137816.646
49,138409.595
50,140179.478
51,140403.992
52,141683.725
53,142517.082
54,144405.835
55,144408.045
56,145413.402
57,145506.604
58,147092.682
59,148706.485
60,149401.680
61,150009.625
62,151397.951
63,152001.568
64,152988.600
65,153005.253
66,158781.910
67,159404.920
68,160398.436
69,161300.837
70,163302.827
71,165089.310
72,165405.307
73,166587.630
74,166698.306
75,167799.563
76,168099.255
77,168104.918
78,168508.629
79,174391.286
80,175594.564
81,177401.111
82,181099.854
83,181712.008
84,182503.161
85,184100.428
86,184989.996
87,188198.030
88,189301.013
89,193193.725
90,197388.131
91,197602.106
92,201898.772
93,204701.156
94,205201.351
95,206696.952
96,216703.636
97,217097.602
98,221108.567
99,228391.540
100,228391.540
