Percentage served,Time in ms
0,3104.805
1,3184.420
2,3226.060
3,3404.455
4,3908.914
5,4304.161
6,4569.657
7,4811.123
8,4822.904
9,4896.715
10,4918.509
11,4983.826
12,5177.167
13,5392.512
14,5536.529
15,5668.318
16,5701.421
17,5737.995
18,5917.458
19,6017.572
20,6158.626
21,6408.931
22,6652.936
23,6703.385
24,6711.689
25,6715.176
26,6716.340
27,6802.189
28,6933.302
29,7019.031
30,7296.920
31,7389.551
32,7465.430
33,7486.466
34,7589.266
35,7634.917
36,7655.409
37,7744.048
38,7815.247
39,8081.431
40,8148.853
41,8259.725
42,8584.199
43,9055.699
44,9057.398
45,9088.790
46,9146.986
47,9407.523
48,9702.540
49,9731.715
50,9749.554
51,10294.505
52,10330.248
53,10487.308
54,10508.477
55,10560.286
56,10884.914
57,11288.014
58,11394.734
59,11434.875
60,11489.675
61,11692.653
62,11903.371
63,11939.134
64,11974.799
65,11998.337
66,12036.559
67,12159.536
68,12178.872
69,12305.026
70,12817.823
71,12889.635
72,13078.578
73,13081.663
74,13327.918
75,13345.389
76,13428.382
77,13501.408
78,13633.087
79,13669.386
80,13987.302
81,14447.505
82,14592.855
83,14836.131
84,15351.079
85,15613.198
86,16272.812
87,16616.821
88,17458.082
89,17484.348
90,17514.668
91,17742.480
92,17809.227
93,18082.526
94,18179.854
95,18632.344
96,18902.766
97,19223.608
98,19380.752
99,19505.301
100,19505.301
