Percentage served,Time in ms
0,2414.488
1,2511.520
2,3043.387
3,3103.085
4,3291.849
5,3358.925
6,3406.819
7,3446.085
8,3501.390
9,3595.450
10,3597.903
11,3598.644
12,3697.850
13,3789.349
14,3793.890
15,3870.922
16,3909.867
17,3991.713
18,4010.401
19,4046.919
20,4285.183
21,4327.664
22,4489.422
23,4500.937
24,4605.160
25,4632.418
26,4700.152
27,4703.066
28,4705.938
29,4794.107
30,4804.953
31,4894.857
32,4911.624
33,4987.564
34,4988.899
35,5001.809
36,5081.464
37,5102.496
38,5200.382
39,5204.427
40,5211.410
41,5380.648
42,5392.006
43,5497.719
44,5593.724
45,5598.406
46,5599.682
47,5601.344
48,5607.054
49,5610.812
50,5611.272
51,5613.458
52,5706.683
53,5707.307
54,5780.827
55,5781.984
56,5794.805
57,5803.348
58,5805.035
59,5947.951
60,5996.919
61,5998.611
62,6089.470
63,6105.120
64,6107.322
65,6199.514
66,6290.281
67,6494.093
68,6499.468
69,6550.255
70,6698.325
71,6707.237
72,6796.256
73,6799.878
74,6895.659
75,6912.990
76,6949.784
77,6998.546
78,7097.636
79,7153.308
80,7244.550
81,7263.504
82,7300.366
83,7303.809
84,7358.740
85,7490.862
86,7711.739
87,7739.837
88,8046.391
89,8111.310
90,8305.900
91,8411.962
92,8549.847
93,8587.780
94,8895.079
95,9106.417
96,9112.981
97,9710.679
98,12506.375
99,13715.077
100,13715.077
